product,price,category,variant,web
優活抽取式衛生紙 100抽,415.0,日用生活/衛生紙/抽取式．平板．滾筒/抽取,100PC抽 x 1 x 24PacK包,https://online.carrefour.com.tw//zh/%E5%84%AA%E6%B4%BB/1220110400124.html
肌研皮脂對策洗顏乳,199.0,美妝個清/個人清潔/卸妝洗顏/洗面乳．卸妝乳,100g克 x 1 x 1BOTTLE瓶,https://online.carrefour.com.tw//zh/%E8%82%8C%E7%A0%94/1202032400101.html
工作日誌Wednesday濾掛(小週末咖啡)8g X8,148.0,米油沖泡/咖啡．茶包/咖啡/咖啡,8g克 x 8 x 1BOX盒,https://online.carrefour.com.tw//zh/%E5%B7%A5%E4%BD%9C%E6%97%A5%E8%AA%8C/1431513700101.html
維大力加鹽沙士Can330 ml,96.0,飲料零食/水．汽水/汽水/沙士,330ml毫升 x 1 x 6Bottle瓶,https://online.carrefour.com.tw//zh/%E7%B6%AD%E5%A4%A7%E5%8A%9B/1000201900106.html
唯潔雅抽取式衛生紙100PCx24,415.0,日用生活/衛生紙/抽取式．平板．滾筒/抽取,100PC抽 x 1 x 24Box箱,https://online.carrefour.com.tw//zh/%E5%94%AF%E6%BD%94%E9%9B%85/1220107700124.html
福樂蘋果牛乳 275ml※因配送關係實際到貨效期約6-8天,30.0,生鮮冷凍/奶蛋點心食品/鮮乳．調味乳,275ml毫升 x 1 x 1Bottle瓶,https://online.carrefour.com.tw//zh/%E7%A6%8F%E6%A8%82/1501200500101.html
綜合享樂包291.4g,159.0,飲料零食/精選餅乾/甜餅乾/其他口味威化,291.4g克 x 1 x 1Bag袋,https://online.carrefour.com.tw//zh/77/1413121500101.html
惜惜康普茶醇厚果香 420ml,140.0,飲料零食/茶飲．咖啡/紅茶．花茶．水果茶/紅茶,420ml毫升 x 1 x 4Bottle瓶,https://online.carrefour.com.tw//zh/%E6%83%9C%E6%83%9C/1003191900104.html
維大力蘋果風味氣水330ml,96.0,飲料零食/水．汽水/汽水/沙士,330ml毫升 x 1 x 6Can罐,https://online.carrefour.com.tw//zh/%E7%B6%AD%E5%A4%A7%E5%8A%9B/1000294400106.html
萬歲牌米果綜合果辣味,198.0,飲料零食/精選餅乾/鹹餅乾/米果,200g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E8%90%AC%E6%AD%B2%E7%89%8C/1400019700101.html
萬歲牌米果綜合果鹽味,198.0,飲料零食/精選餅乾/鹹餅乾/米果,200g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E8%90%AC%E6%AD%B2%E7%89%8C/1400019600101.html
無塵氏 酒精抗菌擦拭巾80抽,89.0,日用生活/家庭清潔 殺蟲/清潔工具/打掃除塵工具/靜電紙,1PC包 x 1 x 1PC包,https://online.carrefour.com.tw//zh/%E7%84%A1%E5%A1%B5%E6%B0%8F/3156705200101.html
台式烤海苔(醬燒口味)36g,99.0,飲料零食/休閒零食/豆乾．肉乾．海苔/海苔．海苔脆片,36g克 x 1 x 1PACK包,https://online.carrefour.com.tw//zh/%E4%B8%8A%E8%B1%90/1420414300101.html
盛香珍純黑巧克酥,78.0,飲料零食/精選餅乾/甜餅乾/夾心餅乾,125g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E7%9B%9B%E9%A6%99%E7%8F%8D/1412000100101.html
維大力白葡萄風味氣水330ml,96.0,飲料零食/水．汽水/汽水/沙士,330ml毫升 x 1 x 6Can罐,https://online.carrefour.com.tw//zh/%E7%B6%AD%E5%A4%A7%E5%8A%9B/1000294300106.html
Custard Cake-蛋黃派(卡士達口味蛋糕),99.0,飲料零食/烘培糕餅/西點．蛋糕,114g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/custard-cake/1411010600101.html
萬歲牌麻辣小魚花生綜合果-156g,198.0,飲料零食/休閒零食/堅果類/混合,156g克 x 1 x 1BOX盒,https://online.carrefour.com.tw//zh/%E8%90%AC%E6%AD%B2%E7%89%8C/1424401600101.html
惜惜康普茶清爽茶香 420ml,140.0,飲料零食/茶飲．咖啡/紅茶．花茶．水果茶/紅茶,420ml毫升 x 1 x 4Bottle瓶,https://online.carrefour.com.tw//zh/%E6%83%9C%E6%83%9C/1003191800104.html
盛香珍法式鹽之花奶油蝴蝶酥,78.0,飲料零食/烘培糕餅/西點．蛋糕,85g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E7%9B%9B%E9%A6%99%E7%8F%8D/1411019400101.html
東和好媽媽無添加蕃茄汁鯖魚(紅易),178.0,米油沖泡/調味．罐頭湯品．南北貨/罐頭/其它魚類,230g克 x 1 x 3Can罐,https://online.carrefour.com.tw//zh/%E6%9D%B1%E5%92%8C%E5%A5%BD%E5%AA%BD%E5%AA%BD/1483205200103.html
OP生物分解抗菌防蟲濾水網170入,188.0,日用生活/餐廚用品/廚房整理/水槽濾渣袋,1PC個 x 1 x 1PC個,https://online.carrefour.com.tw//zh/op/3147301300101.html
熊寶貝多效護衣芳香豆鼠尾草X海鹽補充包300,198.0,日用生活/家庭清潔 殺蟲/柔軟冷洗精．漂白劑,300ml毫升 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E7%86%8A%E5%AF%B6%E8%B2%9D/1111010900101.html
[限量]橘平屋36束海苔經濟包28.8g,180.0,飲料零食/休閒零食/豆乾．肉乾．海苔/海苔．海苔脆片,28.8g克 x 1 x 1Bag袋,https://online.carrefour.com.tw//zh/%E6%A9%98%E5%B9%B3%E5%B1%8B/1420404100101.html
福樂麥芽牛乳275ml到貨效期約6-8天,30.0,生鮮冷凍/奶蛋點心食品/鮮乳．調味乳,275ml毫升 x 1 x 1BOTTLE瓶,https://online.carrefour.com.tw//zh/%E7%A6%8F%E6%A8%82/1501394800101.html
楓康弧型海棉菜瓜布,63.0,日用生活/家庭清潔 殺蟲/清潔工具/衛浴清潔工具,1PC個 x 1 x 1PC個,https://online.carrefour.com.tw//zh/%E6%A5%93%E5%BA%B7/3153323300101.html
惜惜康普茶台灣香檬氣泡 420ml,140.0,飲料零食/茶飲．咖啡/紅茶．花茶．水果茶/紅茶,420ml毫升 x 1 x 4Bottle瓶,https://online.carrefour.com.tw//zh/%E6%83%9C%E6%83%9C/1003406300104.html
萬歲牌蒜香花生綜合果-156g,198.0,飲料零食/休閒零食/堅果類/混合,156g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E8%90%AC%E6%AD%B2%E7%89%8C/1424405200101.html
[限量]Custard Cake-北海道牛奶口味派(蛋糕),99.0,飲料零食/烘培糕餅/西點．蛋糕,114g克 x 1 x 1BOX盒,https://online.carrefour.com.tw//zh/1411003300101.html
盛香珍-宜蘭三星蔥風味煎餅,78.0,飲料零食/烘培糕餅/西點．蛋糕,105g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E7%9B%9B%E9%A6%99%E7%8F%8D/1411024600101.html
東和好媽媽無添加特製豆豉紅燒鰻,178.0,米油沖泡/調味．罐頭湯品．南北貨/罐頭/其它魚類,90g克 x 1 x 3Can罐,https://online.carrefour.com.tw//zh/%E6%9D%B1%E5%92%8C%E5%A5%BD%E5%AA%BD%E5%AA%BD/1483205600103.html
東和好媽媽無添加特製燒鰻,178.0,米油沖泡/調味．罐頭湯品．南北貨/罐頭/其它魚類,90g克 x 1 x 3Can罐,https://online.carrefour.com.tw//zh/%E6%9D%B1%E5%92%8C%E5%A5%BD%E5%AA%BD%E5%AA%BD/1483205700103.html
台式烤海苔(胡椒口味)36g,99.0,飲料零食/休閒零食/豆乾．肉乾．海苔/海苔．海苔脆片,36g克 x 1 x 1PACK包,https://online.carrefour.com.tw//zh/%E4%B8%8A%E8%B1%90/1420402300101.html
【垃圾袋】可家芬抗蟑驅蠅清潔袋(中)-53* 63cm(20L),89.0,日用生活/家庭清潔 殺蟲/清潔工具/垃圾袋．垃圾桶,1Pack包 x 1 x 1Pack包,https://online.carrefour.com.tw//zh/3150101000101.html
Gery厚醬起司蘇打餅,50.0,飲料零食/精選餅乾/甜餅乾/其它口味夾心,100g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/gery/1412118300101.html
【調味乳】福樂巧克力牛乳 275ml到貨效期約6-8天,30.0,生鮮冷凍/奶蛋點心食品/鮮乳．調味乳,275ml毫升 x 1 x 1Bottle瓶,https://online.carrefour.com.tw//zh/%E7%A6%8F%E6%A8%82/1501302400101.html
妙管家有酵洗衣精補充包-抗菌2000g,98.0,日用生活/家庭清潔 殺蟲/洗衣精 洗衣球,2000g克 x 1 x 1Pack包,https://online.carrefour.com.tw//zh/%E5%8F%B0%E7%81%A3%E5%A6%99%E7%AE%A1%E5%AE%B6/1110302200101.html
盛香珍榛果巧克力風味厚捲燒,78.0,飲料零食/精選餅乾/甜餅乾/捲心餅,100g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E7%9B%9B%E9%A6%99%E7%8F%8D/1413225600101.html
森田藥粧茶樹淨痘調理洗顏乳120g,148.0,美妝個清/個人清潔/卸妝洗顏/洗面乳．卸妝乳,120g克 x 1 x 1PC支,https://online.carrefour.com.tw//zh/%E6%A3%AE%E7%94%B0%E8%97%A5%E7%B2%A7/1202006400101.html
台式烤海苔(麻辣口味)36g,99.0,飲料零食/休閒零食/豆乾．肉乾．海苔/海苔．海苔脆片,36g克 x 1 x 1PACK包,https://online.carrefour.com.tw//zh/%E4%B8%8A%E8%B1%90/1420417500101.html
楓康食品用PE保鮮膜60M,79.0,日用生活/餐廚用品/保鮮容器/保鮮膜,1PC個 x 1 x 1PC個,https://online.carrefour.com.tw//zh/%E6%A5%93%E5%BA%B7/3142391100101.html
盛香珍-台南愛文芒果薄燒,78.0,飲料零食/精選餅乾/甜餅乾/其它口味夾心,100g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E7%9B%9B%E9%A6%99%E7%8F%8D/1412110200101.html
工作日誌Tuesday濾掛(午后加油咖啡) 8g X8,148.0,米油沖泡/咖啡．茶包/咖啡/咖啡,8g克 x 8 x 1BOX盒,https://online.carrefour.com.tw//zh/%E5%B7%A5%E4%BD%9C%E6%97%A5%E8%AA%8C/1431514200101.html
無塵氏茶樹抗菌擦拭拖地兩用布,59.0,日用生活/家庭清潔 殺蟲/清潔工具/打掃除塵工具/靜電紙,1PC包 x 1 x 1PC包,https://online.carrefour.com.tw//zh/%E7%84%A1%E5%A1%B5%E6%B0%8F/3156703100101.html
味味A辣排骨雞風味乾麵123g,95.0,米油沖泡/泡麵．麵條/泡麵/雞肉口味,123g克 x 1 x 4Bag包,https://online.carrefour.com.tw//zh/%E5%91%B3%E4%B8%B9/1450006700104.html
OP無雙酚A鋁箔800cm,138.0,日用生活/餐廚用品/保鮮容器/保鮮膜,1PC個 x 1 x 1PC個,https://online.carrefour.com.tw//zh/3142002400101.html
中興米外銷日本的米2.5kg,265.0,米油沖泡/米．食用油/米/米,2.5Kg公斤 x 1 x 1Bag袋,https://online.carrefour.com.tw//zh/%E4%B8%AD%E8%88%88%E7%B1%B3/1451001300101.html
靠得住暖心香氛梔子花日薄 23cm(11片）,169.0,美妝個清/女性衛生/衛生棉/日用標準,11PC片 x 1 x 2PC包,https://online.carrefour.com.tw//zh/%E9%9D%A0%E5%BE%97%E4%BD%8F/1212106500102.html
百家珍桑椹醋600ml,219.0,飲料零食/果汁．養生/濃縮飲料/水果醋/濃縮醋,600ml毫升 x 1 x 1Bottle瓶,https://online.carrefour.com.tw//zh/%E7%99%BE%E5%AE%B6%E7%8F%8D/1005203300101.html
靠得住暖心香氛梔子花夜薄 28cm(10片）,169.0,美妝個清/女性衛生/衛生棉/夜用,10PC片 x 1 x 2PC包,https://online.carrefour.com.tw//zh/%E9%9D%A0%E5%BE%97%E4%BD%8F/1212312900102.html
熊寶貝護衣芳香豆玫瑰X茉莉補充包300ML,198.0,日用生活/家庭清潔 殺蟲/柔軟冷洗精．漂白劑,300ml毫升 x 1 x 1PC包,https://online.carrefour.com.tw//zh/snuggle%E7%86%8A%E5%AF%B6%E8%B2%9D/1111007600101.html
雋品HiBs 三切岩燒海苔-原味 30g,116.0,飲料零食/休閒零食/豆乾．肉乾．海苔/海苔．海苔脆片,30g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E9%9B%8B%E5%93%81hibs/1420406700101.html
Gery厚醬巧克力蘇打餅,50.0,飲料零食/精選餅乾/甜餅乾/夾心餅乾,100g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/gery/1412005900101.html
台鹽護牙齦抗敏感牙膏,135.0,美妝個清/個人清潔/口腔清潔用品/功能性牙膏,140g克 x 1 x 1PC盒,https://online.carrefour.com.tw//zh/%E5%8F%B0%E9%B9%BD/1210209500101.html
萬歲牌米果綜合果梅味_200g,198.0,飲料零食/精選餅乾/鹹餅乾/米果,200g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E8%90%AC%E6%AD%B2%E7%89%8C/1400034400101.html
蘇菲極淨肌有機棉超薄潔翼23cm 16片,145.0,美妝個清/女性衛生/衛生棉/日用標準,16PC片 x 1 x 1PC包,https://online.carrefour.com.tw//zh/%E8%98%87%E8%8F%B2/1212101200101.html
雋品HiBs 三切岩燒海苔-戀之梅口味 30g,116.0,飲料零食/休閒零食/豆乾．肉乾．海苔/海苔．海苔脆片,30g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E9%9B%8B%E5%93%81/1420412500101.html
雋品HiBs 三切岩燒海苔-香檸口味 30g,116.0,飲料零食/休閒零食/豆乾．肉乾．海苔/海苔．海苔脆片,30g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E9%9B%8B%E5%93%81/1420401500101.html
福樂木瓜牛乳275ml※本商品保存期限為13天，因配送關係到府後使用期限5天,30.0,生鮮冷凍/奶蛋點心食品/鮮乳．調味乳,275ml毫升 x 1 x 1Bottle瓶,https://online.carrefour.com.tw//zh/1501293000101.html
維大力零熱量汽水 330ml,96.0,飲料零食/水．汽水/汽水/沙士,330ml毫升 x 1 x 6Can罐,https://online.carrefour.com.tw//zh/%E7%B6%AD%E5%A4%A7%E5%8A%9B/1000210200106.html
李施德霖櫻花蜜桃漱口水500ml,248.0,美妝個清/個人清潔/口腔清潔用品/漱口水,500ml毫升 x 1 x 1PC瓶,https://online.carrefour.com.tw//zh/%E6%9D%8E%E6%96%BD%E5%BE%B7%E9%9C%96/1210508900101.html
無塵氏薰衣草擦拭拖地兩用布,59.0,日用生活/家庭清潔 殺蟲/清潔工具/打掃除塵工具/靜電紙,1PC包 x 1 x 1PC包,https://online.carrefour.com.tw//zh/%E7%84%A1%E5%A1%B5%E6%B0%8F/3156702500101.html
Gery厚醬椰香蘇打餅,50.0,飲料零食/精選餅乾/甜餅乾/其它口味夾心,105g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/gery/1412104400101.html
元本山海苔堅果夾心-杏仁香鬆,109.0,飲料零食/休閒零食/豆乾．肉乾．海苔/海苔．海苔脆片,48g克 x 1 x 1PACK包,https://online.carrefour.com.tw//zh/%E5%85%83%E6%9C%AC%E5%B1%B1/1420410600101.html
輕時代絕對乾燥集水替換包檸檬清香570g,96.0,日用生活/家庭清潔 殺蟲/除濕．香氛,570g克 x 1 x 1PC包,https://online.carrefour.com.tw//zh/%E8%BC%95%E6%99%82%E4%BB%A3/1103203300101.html
OG巧克力覆蓋餅,89.0,飲料零食/精選餅乾/甜餅乾/巧克力口味,102g克 x 1 x 1BOX盒,https://online.carrefour.com.tw//zh/1410236000101.html
Gery厚醬椰子巧克力蘇打餅,50.0,飲料零食/精選餅乾/甜餅乾/夾心餅乾,105g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/gery/1412001000101.html
盛香珍杏仁奶油曲奇,78.0,飲料零食/精選餅乾/甜餅乾/其它口味,85g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E7%9B%9B%E9%A6%99%E7%8F%8D/1410427200101.html
茶樹莊園超濃縮洗碗精補充包-茶樹檸檬,118.0,日用生活/家庭清潔 殺蟲/洗碗精,700g克 x 1 x 1Bag袋,https://online.carrefour.com.tw//zh/%E8%8A%B1%E4%BB%99%E5%AD%90/1105006500201.html
妙管家有酵洗衣精補充包-中性2000g,98.0,日用生活/家庭清潔 殺蟲/洗衣精 洗衣球,2000g克 x 1 x 1Pack包,https://online.carrefour.com.tw//zh/%E5%8F%B0%E7%81%A3%E5%A6%99%E7%AE%A1%E5%AE%B6/1110309000101.html
可家芬抗蟑驅蠅清潔袋(小),89.0,日用生活/家庭清潔 殺蟲/清潔工具/垃圾袋．垃圾桶,1Pack包 x 1 x 1Pack包,https://online.carrefour.com.tw//zh/3150000600101.html
萬歲牌薄鹽堅果綜合果,198.0,飲料零食/休閒零食/堅果類/混合,156g克 x 1 x 1Pack包,https://online.carrefour.com.tw//zh/%E8%90%AC%E6%AD%B2%E7%89%8C/1424402300101.html
靠得住草本瞬吸護墊17.5cm-24PC,129.0,美妝個清/女性衛生/衛生棉/護墊,24PC片 x 1 x 2PC包,https://online.carrefour.com.tw//zh/%E9%9D%A0%E5%BE%97%E4%BD%8F/1212008200102.html
雋品HiBs-三切岩燒海苔-卵黃口味,116.0,飲料零食/休閒零食/豆乾．肉乾．海苔/海苔．海苔脆片,30g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E9%9B%8B%E5%93%81/1420418800101.html
舒潔家用紙巾 -貼心巧撕 FSC-108PC張 x 6 x 1Pack包,189.0,日用生活/衛生紙/廚房紙巾/廚房紙巾,108PC張 x 6 x 1Pack包,https://online.carrefour.com.tw//zh/%E8%88%92%E6%BD%94/1222001200101.html
妙管家有酵洗衣精補充包-亮彩,98.0,日用生活/家庭清潔 殺蟲/洗衣精 洗衣球,2000g克 x 1 x 1Pack包,https://online.carrefour.com.tw//zh/%E5%8F%B0%E7%81%A3%E5%A6%99%E7%AE%A1%E5%AE%B6/1110305000101.html
可家芬抗蟑驅蠅清潔袋(大),89.0,日用生活/家庭清潔 殺蟲/清潔工具/垃圾袋．垃圾桶,1Pack包 x 1 x 1Pack包,https://online.carrefour.com.tw//zh/%E5%8F%AF%E5%AE%B6%E8%8A%AC/3150200600101.html
百家珍蜂蜜醋600ml,219.0,飲料零食/果汁．養生/濃縮飲料/水果醋/濃縮醋,600ml毫升 x 1 x 1Bottle瓶,https://online.carrefour.com.tw//zh/%E7%99%BE%E5%AE%B6%E7%8F%8D/1005202100101.html
萬歲活力纖果綜合果-156g,198.0,飲料零食/休閒零食/堅果類/混合,156g克 x 1 x 1BOX盒,https://online.carrefour.com.tw//zh/%E8%90%AC%E6%AD%B2%E7%89%8C/1424402100101.html
惜惜康普茶青梅氣泡 420ml,140.0,飲料零食/茶飲．咖啡/紅茶．花茶．水果茶/紅茶,420ml毫升 x 1 x 4Bottle瓶,https://online.carrefour.com.tw//zh/%E6%83%9C%E6%83%9C/1003407100104.html
熊寶貝護衣芳香豆藍風鈴X白麝補充包300ML,198.0,日用生活/家庭清潔 殺蟲/柔軟冷洗精．漂白劑,300ml毫升 x 1 x 1PC包,https://online.carrefour.com.tw//zh/snuggle%E7%86%8A%E5%AF%B6%E8%B2%9D/1111007200101.html
麥斯威爾特濃咖啡3合1經濟包13gx25,185.0,米油沖泡/咖啡．茶包/咖啡/咖啡隨身包,13g克 x 25 x 1Bag袋,https://online.carrefour.com.tw//zh/%E9%BA%A5%E6%96%AF%E5%A8%81%E7%88%BE/1431105000101.html
清淨海環保地板清潔劑,190.0,日用生活/家庭清潔 殺蟲/家用清潔/地板．玻璃,2000ml毫升 x 1 x 1Bottle瓶,https://online.carrefour.com.tw//zh/%E6%B8%85%E6%B7%A8%E6%B5%B7/1101000700101.html
盛香珍黃金巧克力巧克酥,78.0,飲料零食/精選餅乾/甜餅乾/夾心餅乾,130g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E7%9B%9B%E9%A6%99%E7%8F%8D/1412005600101.html
森田藥粧蘆薈晶透洗面乳120g,148.0,美妝個清/個人清潔/卸妝洗顏/洗面乳．卸妝乳,120g克 x 1 x 1PC條,https://online.carrefour.com.tw//zh/%E6%A3%AE%E7%94%B0%E8%97%A5%E7%B2%A7/1202034200101.html
工作日誌Friday濾掛(分享快樂咖啡)8g X8,148.0,米油沖泡/咖啡．茶包/咖啡/咖啡,8g克 x 8 x 1BOX盒,https://online.carrefour.com.tw//zh/%E5%B7%A5%E4%BD%9C%E6%97%A5%E8%AA%8C/1431513800101.html
工作日誌Thursday濾掛(星光分享咖啡)8g X8,148.0,米油沖泡/咖啡．茶包/咖啡/咖啡,8g克 x 8 x 1BOX盒,https://online.carrefour.com.tw//zh/%E5%B7%A5%E4%BD%9C%E6%97%A5%E8%AA%8C/1431514000101.html
"舒潔迪士尼袖珍包面紙FSC-10PCx30包(圖案隨機)*限量包裝,恕不指定(以實際出貨為主)",98.0,日用生活/衛生紙/面紙．濕紙巾/紙手帕．袖珍面紙,10PC抽 x 30 x 1Set組,https://online.carrefour.com.tw//zh/%E8%88%92%E6%BD%94/1221101600101.html
高露潔抗敏感  強護琺瑯質牙膏,168.0,美妝個清/個人清潔/口腔清潔用品/功能性牙膏,120g克 x 1 x 1PC支,https://online.carrefour.com.tw//zh/%E9%AB%98%E9%9C%B2%E6%BD%94colgate/1210202000101.html
無塵氏十字壓紋除塵紙4入組,159.0,日用生活/家庭清潔 殺蟲/清潔工具/打掃除塵工具/靜電紙,1Set組 x 1 x 1SET組,https://online.carrefour.com.tw//zh/%E7%84%A1%E5%A1%B5%E6%B0%8F/3156705300101.html
桂格美味三合一麥片 經典麥香,138.0,米油沖泡/沖泡飲品．食品/沖泡飲品/三合一麥片,330g克 x 1 x 1Bag包,https://online.carrefour.com.tw//zh/%E6%A1%82%E6%A0%BC/1436292400101.html
茶樹莊園天然濃縮消臭洗衣精補充包800g,118.0,日用生活/家庭清潔 殺蟲/洗衣精 洗衣球,800g克 x 1 x 1BOX箱,https://online.carrefour.com.tw//zh/%E8%8A%B1%E4%BB%99%E5%AD%90/1110301300101.html
靠得住晚安好眠褲L 2片,99.0,美妝個清/女性衛生/衛生棉/夜用,2PC片 x 1 x 1PC包,https://online.carrefour.com.tw//zh/%E9%9D%A0%E5%BE%97%E4%BD%8F/1212316600101.html
蒲公英環保抽取衛生紙100PCx12,230.0,日用生活/衛生紙/抽取式．平板．滾筒/抽取,100PC抽 x 1 x 12PC包,https://online.carrefour.com.tw//zh/%E8%92%B2%E5%85%AC%E8%8B%B1/1220106500112.html
靠得住暖心香氛梔子花護墊14.5cm-25PC,99.0,美妝個清/女性衛生/衛生棉/護墊,25PC片 x 1 x 2PC包,https://online.carrefour.com.tw//zh/%E9%9D%A0%E5%BE%97%E4%BD%8F/1212002500102.html
李施德霖柚戀百香漱口水500ml,248.0,美妝個清/個人清潔/口腔清潔用品/漱口水,500ml毫升 x 1 x 1PC瓶,https://online.carrefour.com.tw//zh/%E6%9D%8E%E6%96%BD%E5%BE%B7%E9%9C%96/1210506900101.html
歐特滿分優果有機全果蔓越莓乾 100g,200.0,飲料零食/休閒零食/果乾蜜餞/水果果肉,100g克 x 1 x 1PACK包,https://online.carrefour.com.tw//zh/%E6%AD%90%E7%89%B9/1421028100101.html
森田藥炭深層潔淨洗顏乳120g,148.0,美妝個清/個人清潔/卸妝洗顏/洗面乳．卸妝乳,120g克 x 1 x 1PC支,https://online.carrefour.com.tw//zh/%E6%A3%AE%E7%94%B0%E8%97%A5%E7%B2%A7/1202004800101.html
葡萄王康普茶雙纖飲530ml,136.0,飲料零食/茶飲．咖啡/紅茶．花茶．水果茶/紅茶,530ml毫升 x 1 x 4Bottle瓶,https://online.carrefour.com.tw//zh/%E8%91%A1%E8%90%84%E7%8E%8B/1003191500104.html
OP生物分解抗菌立體密封袋 L(17入),98.0,日用生活/餐廚用品/保鮮容器/保鮮膜,1PC個 x 1 x 1PC個,https://online.carrefour.com.tw//zh/op/3142104100101.html
元本山海苔堅果夾心-花生核桃,109.0,飲料零食/休閒零食/豆乾．肉乾．海苔/海苔．海苔脆片,48g克 x 1 x 1PACK包,https://online.carrefour.com.tw//zh/%E5%85%83%E6%9C%AC%E5%B1%B1/1420400400101.html
